,game_id,team,set_nr,action,player_nr,player_name,position,point,errors,attempts,total,efficiency
1,11700,France,1,attack,7,Tillie ,OH,4,0,1,5,80.00
2,11700,France,1,attack,19,Louati ,OH,4,0,3,7,57.14
3,11700,France,1,attack,4,Patry ,O,3,3,3,9,0.00
4,11700,France,1,attack,1,Chinenyeze ,MB,1,0,0,1,100.00
5,11700,France,1,attack,11,Brizard ,S,1,0,0,1,100.00
6,11700,France,1,attack,14,Le Goff ,MB,1,2,1,4,-25.00
7,11700,France,1,attack,6,Toniutti (C),S,0,0,0,0,
8,11700,France,1,attack,8,Lyneel ,OH,0,0,0,0,
9,11700,France,1,attack,12,Boyer ,O,0,0,0,0,
10,11700,France,1,attack,16,Bultor ,MB,0,0,0,0,
11,11700,France,1,attack,17,Clevenot ,OH,0,0,0,0,
12,11700,France,1,attack,18,Rossard T ,OH,0,0,0,0,
13,11700,France,1,attack,20,Diez ,L,0,0,0,0,
14,11700,France,1,attack,24,Gueye ,MB,0,0,0,0,
16,11700,France,2,attack,19,Louati ,OH,4,0,3,7,57.14
17,11700,France,2,attack,4,Patry ,O,3,1,2,6,33.33
18,11700,France,2,attack,1,Chinenyeze ,MB,1,0,2,3,33.33
19,11700,France,2,attack,7,Tillie ,OH,1,0,4,5,20.00
20,11700,France,2,attack,11,Brizard ,S,1,0,0,1,100.00
21,11700,France,2,attack,14,Le Goff ,MB,1,0,1,2,50.00
22,11700,France,2,attack,6,Toniutti (C),S,0,0,0,0,
23,11700,France,2,attack,8,Lyneel ,OH,0,0,0,0,
24,11700,France,2,attack,12,Boyer ,O,0,0,0,0,
25,11700,France,2,attack,16,Bultor ,MB,0,0,0,0,
26,11700,France,2,attack,17,Clevenot ,OH,0,0,0,0,
27,11700,France,2,attack,18,Rossard T ,OH,0,0,0,0,
28,11700,France,2,attack,20,Diez ,L,0,0,0,0,
29,11700,France,2,attack,24,Gueye ,MB,0,0,0,0,
31,11700,France,3,attack,17,Clevenot ,OH,4,0,1,5,80.00
32,11700,France,3,attack,1,Chinenyeze ,MB,3,1,0,4,50.00
33,11700,France,3,attack,4,Patry ,O,2,0,8,10,20.00
34,11700,France,3,attack,7,Tillie ,OH,2,1,0,3,33.33
35,11700,France,3,attack,14,Le Goff ,MB,2,0,1,3,66.67
36,11700,France,3,attack,11,Brizard ,S,1,0,0,1,100.00
37,11700,France,3,attack,6,Toniutti (C),S,0,0,0,0,
38,11700,France,3,attack,8,Lyneel ,OH,0,0,0,0,
39,11700,France,3,attack,12,Boyer ,O,0,0,0,0,
40,11700,France,3,attack,16,Bultor ,MB,0,0,0,0,
41,11700,France,3,attack,18,Rossard T ,OH,0,0,0,0,
42,11700,France,3,attack,19,Louati ,OH,0,0,0,0,
43,11700,France,3,attack,20,Diez ,L,0,0,0,0,
44,11700,France,3,attack,24,Gueye ,MB,0,0,0,0,
46,11700,Bulgaria,1,attack,19,Sokolov (C),O,3,2,5,10,10.00
47,11700,Bulgaria,1,attack,12,Petrov ,OH,2,0,1,3,66.67
48,11700,Bulgaria,1,attack,22,Kartev ,MB,2,1,0,3,33.33
49,11700,Bulgaria,1,attack,4,Atanasov ,OH,1,1,4,6,0.00
50,11700,Bulgaria,1,attack,11,Grozdanov ,MB,1,1,1,3,0.00
51,11700,Bulgaria,1,attack,1,Karyagin ,OH,0,0,0,0,
52,11700,Bulgaria,1,attack,2,Chavdarov ,MB,0,0,0,0,
53,11700,Bulgaria,1,attack,3,Kolev ,MB,0,0,0,0,
54,11700,Bulgaria,1,attack,9,Seganov ,S,0,0,0,0,
55,11700,Bulgaria,1,attack,10,Stankov ,S,0,0,0,0,
56,11700,Bulgaria,1,attack,14,Asparuhov ,OH,0,0,0,0,
57,11700,Bulgaria,1,attack,16,V. Ivanov ,L,0,0,0,0,
58,11700,Bulgaria,1,attack,24,M. Ivanov ,L,0,0,0,0,
59,11700,Bulgaria,1,attack,25,Parapunov ,O,0,0,0,0,
61,11700,Bulgaria,2,attack,19,Sokolov (C),O,6,2,2,10,40.00
62,11700,Bulgaria,2,attack,1,Karyagin ,OH,3,0,0,3,100.00
63,11700,Bulgaria,2,attack,4,Atanasov ,OH,1,2,2,5,-20.00
64,11700,Bulgaria,2,attack,12,Petrov ,OH,1,1,1,3,0.00
65,11700,Bulgaria,2,attack,22,Kartev ,MB,1,0,0,1,100.00
66,11700,Bulgaria,2,attack,2,Chavdarov ,MB,0,0,0,0,
67,11700,Bulgaria,2,attack,3,Kolev ,MB,0,0,0,0,
68,11700,Bulgaria,2,attack,9,Seganov ,S,0,1,0,1,-100.00
69,11700,Bulgaria,2,attack,10,Stankov ,S,0,0,0,0,
70,11700,Bulgaria,2,attack,11,Grozdanov ,MB,0,0,0,0,
71,11700,Bulgaria,2,attack,14,Asparuhov ,OH,0,0,0,0,
72,11700,Bulgaria,2,attack,16,V. Ivanov ,L,0,0,0,0,
73,11700,Bulgaria,2,attack,24,M. Ivanov ,L,0,0,0,0,
74,11700,Bulgaria,2,attack,25,Parapunov ,O,0,0,0,0,
76,11700,Bulgaria,3,attack,19,Sokolov (C),O,6,1,4,11,45.45
77,11700,Bulgaria,3,attack,1,Karyagin ,OH,3,0,1,4,75.00
78,11700,Bulgaria,3,attack,14,Asparuhov ,OH,3,0,2,5,60.00
79,11700,Bulgaria,3,attack,11,Grozdanov ,MB,2,2,0,4,0.00
80,11700,Bulgaria,3,attack,22,Kartev ,MB,1,0,0,1,100.00
81,11700,Bulgaria,3,attack,2,Chavdarov ,MB,0,0,0,0,
82,11700,Bulgaria,3,attack,3,Kolev ,MB,0,0,0,0,
83,11700,Bulgaria,3,attack,4,Atanasov ,OH,0,1,2,3,-33.33
84,11700,Bulgaria,3,attack,9,Seganov ,S,0,0,0,0,
85,11700,Bulgaria,3,attack,10,Stankov ,S,0,0,0,0,
86,11700,Bulgaria,3,attack,12,Petrov ,OH,0,0,0,0,
87,11700,Bulgaria,3,attack,16,V. Ivanov ,L,0,0,0,0,
88,11700,Bulgaria,3,attack,24,M. Ivanov ,L,0,0,0,0,
89,11700,Bulgaria,3,attack,25,Parapunov ,O,0,0,0,0,
91,11701,Germany,1,attack,1,Fromm (C),OH,5,0,0,5,100.00
92,11701,Germany,1,attack,20,Weber ,O,4,1,0,5,60.00
93,11701,Germany,1,attack,6,Kaliberda ,OH,3,0,4,7,42.86
94,11701,Germany,1,attack,18,Krage ,MB,1,1,1,3,0.00
95,11701,Germany,1,attack,21,Krick ,MB,1,0,0,1,100.00
96,11701,Germany,1,attack,3,Schott ,OH,0,0,0,0,
97,11701,Germany,1,attack,5,Reichert ,OH,0,0,0,0,
98,11701,Germany,1,attack,7,Sossenheimer ,L,0,0,0,0,
99,11701,Germany,1,attack,8,Böhme ,MB,0,0,0,0,
100,11701,Germany,1,attack,10,Zenger ,L,0,0,0,0,
101,11701,Germany,1,attack,13,Hirsch ,O,0,0,0,0,
102,11701,Germany,1,attack,15,Baxpöhler ,MB,0,0,0,0,
103,11701,Germany,1,attack,16,Burggräf ,S,0,0,0,0,
104,11701,Germany,1,attack,17,Zimmermann ,S,0,0,0,0,
106,11701,Germany,2,attack,1,Fromm (C),OH,7,0,2,9,77.78
107,11701,Germany,2,attack,20,Weber ,O,3,1,3,7,28.57
108,11701,Germany,2,attack,6,Kaliberda ,OH,2,1,2,5,20.00
109,11701,Germany,2,attack,18,Krage ,MB,2,0,1,3,66.67
110,11701,Germany,2,attack,21,Krick ,MB,2,0,1,3,66.67
111,11701,Germany,2,attack,3,Schott ,OH,0,0,0,0,
112,11701,Germany,2,attack,5,Reichert ,OH,0,0,0,0,
113,11701,Germany,2,attack,7,Sossenheimer ,L,0,0,0,0,
114,11701,Germany,2,attack,8,Böhme ,MB,0,0,0,0,
115,11701,Germany,2,attack,10,Zenger ,L,0,0,0,0,
116,11701,Germany,2,attack,13,Hirsch ,O,0,0,0,0,
117,11701,Germany,2,attack,15,Baxpöhler ,MB,0,0,0,0,
118,11701,Germany,2,attack,16,Burggräf ,S,0,0,0,0,
119,11701,Germany,2,attack,17,Zimmermann ,S,0,0,0,0,
121,11701,Germany,3,attack,20,Weber ,O,5,1,1,7,57.14
122,11701,Germany,3,attack,1,Fromm (C),OH,2,1,3,6,16.67
123,11701,Germany,3,attack,6,Kaliberda ,OH,2,0,1,3,66.67
124,11701,Germany,3,attack,21,Krick ,MB,2,0,1,3,66.67
125,11701,Germany,3,attack,18,Krage ,MB,1,0,2,3,33.33
126,11701,Germany,3,attack,3,Schott ,OH,0,0,0,0,
127,11701,Germany,3,attack,5,Reichert ,OH,0,0,0,0,
128,11701,Germany,3,attack,7,Sossenheimer ,L,0,0,0,0,
129,11701,Germany,3,attack,8,Böhme ,MB,0,0,0,0,
130,11701,Germany,3,attack,10,Zenger ,L,0,0,0,0,
131,11701,Germany,3,attack,13,Hirsch ,O,0,0,0,0,
132,11701,Germany,3,attack,15,Baxpöhler ,MB,0,0,0,0,
133,11701,Germany,3,attack,16,Burggräf ,S,0,0,0,0,
134,11701,Germany,3,attack,17,Zimmermann ,S,0,0,0,0,
136,11701,Australia,1,attack,2,Dosanjh ,S,2,0,0,2,100.00
137,11701,Australia,1,attack,12,Mote (C),MB,2,0,2,4,50.00
138,11701,Australia,1,attack,15,Smith ,OH,2,0,3,5,40.00
