,game_id,team,set_nr,action,player_nr,player_name,position,point,errors,touches,total,efficiency
1,11700,France,1,block,4,Patry ,O,1,0,0,1,100.00
2,11700,France,1,block,14,Le Goff ,MB,1,1,0,2,0.00
3,11700,France,1,block,1,Chinenyeze ,MB,0,0,0,0,
4,11700,France,1,block,6,Toniutti (C),S,0,0,0,0,
5,11700,France,1,block,7,Tillie ,OH,0,0,0,0,
6,11700,France,1,block,8,Lyneel ,OH,0,0,0,0,
7,11700,France,1,block,11,Brizard ,S,0,0,0,0,
8,11700,France,1,block,12,Boyer ,O,0,0,0,0,
9,11700,France,1,block,16,Bultor ,MB,0,0,0,0,
10,11700,France,1,block,17,Clevenot ,OH,0,0,0,0,
11,11700,France,1,block,18,Rossard T ,OH,0,0,0,0,
12,11700,France,1,block,19,Louati ,OH,0,0,0,0,
13,11700,France,1,block,20,Diez ,L,0,0,0,0,
14,11700,France,1,block,24,Gueye ,MB,0,0,0,0,
16,11700,France,2,block,1,Chinenyeze ,MB,2,0,0,2,100.00
17,11700,France,2,block,11,Brizard ,S,1,0,0,1,100.00
18,11700,France,2,block,19,Louati ,OH,1,1,1,3,0.00
19,11700,France,2,block,4,Patry ,O,0,0,0,0,
20,11700,France,2,block,6,Toniutti (C),S,0,0,0,0,
21,11700,France,2,block,7,Tillie ,OH,0,1,0,1,-100.00
22,11700,France,2,block,8,Lyneel ,OH,0,0,0,0,
23,11700,France,2,block,12,Boyer ,O,0,0,0,0,
24,11700,France,2,block,14,Le Goff ,MB,0,0,0,0,
25,11700,France,2,block,16,Bultor ,MB,0,0,0,0,
26,11700,France,2,block,17,Clevenot ,OH,0,0,0,0,
27,11700,France,2,block,18,Rossard T ,OH,0,0,0,0,
28,11700,France,2,block,20,Diez ,L,0,0,0,0,
29,11700,France,2,block,24,Gueye ,MB,0,0,0,0,
31,11700,France,3,block,14,Le Goff ,MB,1,1,0,2,0.00
32,11700,France,3,block,1,Chinenyeze ,MB,0,0,0,0,
33,11700,France,3,block,4,Patry ,O,0,0,0,0,
34,11700,France,3,block,6,Toniutti (C),S,0,0,0,0,
35,11700,France,3,block,7,Tillie ,OH,0,0,0,0,
36,11700,France,3,block,8,Lyneel ,OH,0,0,0,0,
37,11700,France,3,block,11,Brizard ,S,0,0,0,0,
38,11700,France,3,block,12,Boyer ,O,0,0,0,0,
39,11700,France,3,block,16,Bultor ,MB,0,0,0,0,
40,11700,France,3,block,17,Clevenot ,OH,0,0,0,0,
41,11700,France,3,block,18,Rossard T ,OH,0,0,0,0,
42,11700,France,3,block,19,Louati ,OH,0,0,0,0,
43,11700,France,3,block,20,Diez ,L,0,0,0,0,
44,11700,France,3,block,24,Gueye ,MB,0,0,0,0,
46,11700,Bulgaria,1,block,4,Atanasov ,OH,1,2,0,3,-33.33
47,11700,Bulgaria,1,block,19,Sokolov (C),O,1,1,0,2,0.00
48,11700,Bulgaria,1,block,1,Karyagin ,OH,0,0,0,0,
49,11700,Bulgaria,1,block,2,Chavdarov ,MB,0,0,0,0,
50,11700,Bulgaria,1,block,3,Kolev ,MB,0,0,0,0,
51,11700,Bulgaria,1,block,9,Seganov ,S,0,0,0,0,
52,11700,Bulgaria,1,block,10,Stankov ,S,0,0,0,0,
53,11700,Bulgaria,1,block,11,Grozdanov ,MB,0,3,0,3,-100.00
54,11700,Bulgaria,1,block,12,Petrov ,OH,0,1,0,1,-100.00
55,11700,Bulgaria,1,block,14,Asparuhov ,OH,0,0,0,0,
56,11700,Bulgaria,1,block,16,V. Ivanov ,L,0,0,0,0,
57,11700,Bulgaria,1,block,22,Kartev ,MB,0,0,0,0,
58,11700,Bulgaria,1,block,24,M. Ivanov ,L,0,0,0,0,
59,11700,Bulgaria,1,block,25,Parapunov ,O,0,0,0,0,
61,11700,Bulgaria,2,block,19,Sokolov (C),O,1,0,0,1,100.00
62,11700,Bulgaria,2,block,1,Karyagin ,OH,0,0,0,0,
63,11700,Bulgaria,2,block,2,Chavdarov ,MB,0,0,0,0,
64,11700,Bulgaria,2,block,3,Kolev ,MB,0,0,0,0,
65,11700,Bulgaria,2,block,4,Atanasov ,OH,0,0,0,0,
66,11700,Bulgaria,2,block,9,Seganov ,S,0,0,0,0,
67,11700,Bulgaria,2,block,10,Stankov ,S,0,0,0,0,
68,11700,Bulgaria,2,block,11,Grozdanov ,MB,0,0,0,0,
69,11700,Bulgaria,2,block,12,Petrov ,OH,0,0,0,0,
70,11700,Bulgaria,2,block,14,Asparuhov ,OH,0,0,0,0,
71,11700,Bulgaria,2,block,16,V. Ivanov ,L,0,0,0,0,
72,11700,Bulgaria,2,block,22,Kartev ,MB,0,0,2,2,0.00
73,11700,Bulgaria,2,block,24,M. Ivanov ,L,0,0,0,0,
74,11700,Bulgaria,2,block,25,Parapunov ,O,0,0,0,0,
76,11700,Bulgaria,3,block,9,Seganov ,S,1,0,0,1,100.00
77,11700,Bulgaria,3,block,22,Kartev ,MB,1,0,0,1,100.00
78,11700,Bulgaria,3,block,1,Karyagin ,OH,0,0,0,0,
79,11700,Bulgaria,3,block,2,Chavdarov ,MB,0,0,0,0,
80,11700,Bulgaria,3,block,3,Kolev ,MB,0,0,0,0,
81,11700,Bulgaria,3,block,4,Atanasov ,OH,0,0,0,0,
82,11700,Bulgaria,3,block,10,Stankov ,S,0,0,0,0,
83,11700,Bulgaria,3,block,11,Grozdanov ,MB,0,0,0,0,
84,11700,Bulgaria,3,block,12,Petrov ,OH,0,0,0,0,
85,11700,Bulgaria,3,block,14,Asparuhov ,OH,0,0,0,0,
86,11700,Bulgaria,3,block,16,V. Ivanov ,L,0,0,0,0,
87,11700,Bulgaria,3,block,19,Sokolov (C),O,0,0,0,0,
88,11700,Bulgaria,3,block,24,M. Ivanov ,L,0,0,0,0,
89,11700,Bulgaria,3,block,25,Parapunov ,O,0,0,0,0,
91,11701,Germany,1,block,18,Krage ,MB,1,2,0,3,-33.33
92,11701,Germany,1,block,1,Fromm (C),OH,0,1,0,1,-100.00
93,11701,Germany,1,block,3,Schott ,OH,0,0,0,0,
94,11701,Germany,1,block,5,Reichert ,OH,0,0,0,0,
95,11701,Germany,1,block,6,Kaliberda ,OH,0,0,0,0,
96,11701,Germany,1,block,7,Sossenheimer ,L,0,0,0,0,
97,11701,Germany,1,block,8,Böhme ,MB,0,0,0,0,
98,11701,Germany,1,block,10,Zenger ,L,0,0,0,0,
99,11701,Germany,1,block,13,Hirsch ,O,0,0,0,0,
100,11701,Germany,1,block,15,Baxpöhler ,MB,0,0,0,0,
101,11701,Germany,1,block,16,Burggräf ,S,0,0,0,0,
102,11701,Germany,1,block,17,Zimmermann ,S,0,1,1,2,-50.00
103,11701,Germany,1,block,20,Weber ,O,0,0,0,0,
104,11701,Germany,1,block,21,Krick ,MB,0,1,2,3,-33.33
106,11701,Germany,2,block,1,Fromm (C),OH,1,2,1,4,-25.00
107,11701,Germany,2,block,6,Kaliberda ,OH,1,0,0,1,100.00
108,11701,Germany,2,block,20,Weber ,O,1,1,0,2,0.00
109,11701,Germany,2,block,3,Schott ,OH,0,0,0,0,
110,11701,Germany,2,block,5,Reichert ,OH,0,0,0,0,
111,11701,Germany,2,block,7,Sossenheimer ,L,0,0,0,0,
112,11701,Germany,2,block,8,Böhme ,MB,0,0,0,0,
113,11701,Germany,2,block,10,Zenger ,L,0,0,0,0,
114,11701,Germany,2,block,13,Hirsch ,O,0,0,0,0,
115,11701,Germany,2,block,15,Baxpöhler ,MB,0,0,0,0,
116,11701,Germany,2,block,16,Burggräf ,S,0,0,0,0,
117,11701,Germany,2,block,17,Zimmermann ,S,0,0,0,0,
118,11701,Germany,2,block,18,Krage ,MB,0,1,0,1,-100.00
119,11701,Germany,2,block,21,Krick ,MB,0,0,1,1,0.00
121,11701,Germany,3,block,13,Hirsch ,O,1,0,0,1,100.00
122,11701,Germany,3,block,1,Fromm (C),OH,0,1,0,1,-100.00
123,11701,Germany,3,block,3,Schott ,OH,0,0,0,0,
124,11701,Germany,3,block,5,Reichert ,OH,0,0,0,0,
125,11701,Germany,3,block,6,Kaliberda ,OH,0,1,0,1,-100.00
126,11701,Germany,3,block,7,Sossenheimer ,L,0,0,0,0,
127,11701,Germany,3,block,8,Böhme ,MB,0,0,0,0,
128,11701,Germany,3,block,10,Zenger ,L,0,0,0,0,
129,11701,Germany,3,block,15,Baxpöhler ,MB,0,0,0,0,
130,11701,Germany,3,block,16,Burggräf ,S,0,0,0,0,
131,11701,Germany,3,block,17,Zimmermann ,S,0,1,0,1,-100.00
132,11701,Germany,3,block,18,Krage ,MB,0,1,0,1,-100.00
