,game_id,team,set_nr,action,player_nr,player_name,position,digs,errors,total,efficiency
1,11830,Netherlands,1,dig,9,Schoot ,L,7,1,8,75.00
2,11830,Netherlands,1,dig,11,Buijs (C),OH,4,0,4,100.00
3,11830,Netherlands,1,dig,23,Timmerman ,MB,3,0,4,75.00
4,11830,Netherlands,1,dig,26,Dambrink ,O,2,0,2,100.00
5,11830,Netherlands,1,dig,19,Daalderop ,OH,1,2,4,-25.00
6,11830,Netherlands,1,dig,1,Knip ,L,0,0,0,
7,11830,Netherlands,1,dig,2,Savelkoel ,OH,0,0,0,
8,11830,Netherlands,1,dig,8,Korevaar ,MB,0,0,0,
9,11830,Netherlands,1,dig,10,Van Aalen ,S,0,0,0,
10,11830,Netherlands,1,dig,12,Bongaerts ,S,0,1,1,-100.00
11,11830,Netherlands,1,dig,16,Baijens ,MB,0,0,0,
12,11830,Netherlands,1,dig,18,M. Jasper ,OH,0,0,0,
13,11830,Netherlands,1,dig,24,de Zwart ,MB,0,0,0,
14,11830,Netherlands,1,dig,27,Scholten ,O,0,0,0,
16,11830,Netherlands,2,dig,9,Schoot ,L,6,0,6,100.00
17,11830,Netherlands,2,dig,19,Daalderop ,OH,5,3,8,25.00
18,11830,Netherlands,2,dig,12,Bongaerts ,S,2,0,2,100.00
19,11830,Netherlands,2,dig,11,Buijs (C),OH,1,0,1,100.00
20,11830,Netherlands,2,dig,16,Baijens ,MB,1,0,1,100.00
21,11830,Netherlands,2,dig,26,Dambrink ,O,1,0,1,100.00
22,11830,Netherlands,2,dig,1,Knip ,L,0,0,0,
23,11830,Netherlands,2,dig,2,Savelkoel ,OH,0,0,0,
24,11830,Netherlands,2,dig,8,Korevaar ,MB,0,0,0,
25,11830,Netherlands,2,dig,10,Van Aalen ,S,0,0,0,
26,11830,Netherlands,2,dig,18,M. Jasper ,OH,0,0,0,
27,11830,Netherlands,2,dig,23,Timmerman ,MB,0,0,0,
28,11830,Netherlands,2,dig,24,de Zwart ,MB,0,0,0,
29,11830,Netherlands,2,dig,27,Scholten ,O,0,0,0,
31,11830,Netherlands,3,dig,11,Buijs (C),OH,5,0,5,100.00
32,11830,Netherlands,3,dig,9,Schoot ,L,2,1,4,25.00
33,11830,Netherlands,3,dig,19,Daalderop ,OH,2,1,3,33.33
34,11830,Netherlands,3,dig,26,Dambrink ,O,2,0,2,100.00
35,11830,Netherlands,3,dig,23,Timmerman ,MB,1,0,1,100.00
36,11830,Netherlands,3,dig,1,Knip ,L,0,0,0,
37,11830,Netherlands,3,dig,2,Savelkoel ,OH,0,0,0,
38,11830,Netherlands,3,dig,8,Korevaar ,MB,0,0,0,
39,11830,Netherlands,3,dig,10,Van Aalen ,S,0,0,0,
40,11830,Netherlands,3,dig,12,Bongaerts ,S,0,0,0,
41,11830,Netherlands,3,dig,16,Baijens ,MB,0,0,0,
42,11830,Netherlands,3,dig,18,M. Jasper ,OH,0,0,0,
43,11830,Netherlands,3,dig,24,de Zwart ,MB,0,0,0,
