,0,1,2,3,4,5
0,11830,2021,VNL,Pool 1 - Preliminary Phase - Women #1,Netherlands,Belgium
0,11831,2021,VNL,Pool 1 - Preliminary Phase - Women #2,Türkiye,Serbia
0,11832,2021,VNL,Pool 1 - Preliminary Phase - Women #3,Germany,Russia
0,11833,2021,VNL,Pool 1 - Preliminary Phase - Women #4,Japan,Thailand
0,11834,2021,VNL,Pool 1 - Preliminary Phase - Women #5,China,Korea
0,11835,2021,VNL,Pool 1 - Preliminary Phase - Women #6,Dominican Republic,USA
0,11836,2021,VNL,Pool 1 - Preliminary Phase - Women #7,Italy,Poland
0,11837,2021,VNL,Pool 1 - Preliminary Phase - Women #8,Brazil,Canada
0,11838,2021,VNL,Pool 1 - Preliminary Phase - Women #9,Netherlands,Germany
0,11839,2021,VNL,Pool 1 - Preliminary Phase - Women #10,Thailand,Korea
0,11840,2021,VNL,Pool 1 - Preliminary Phase - Women #11,China,Japan
0,11841,2021,VNL,Pool 1 - Preliminary Phase - Women #12,Belgium,Russia
0,11842,2021,VNL,Pool 1 - Preliminary Phase - Women #13,Serbia,Poland
0,11843,2021,VNL,Pool 1 - Preliminary Phase - Women #14,Brazil,Dominican Republic
0,11844,2021,VNL,Pool 1 - Preliminary Phase - Women #15,Türkiye,Italy
0,11845,2021,VNL,Pool 1 - Preliminary Phase - Women #16,USA,Canada
0,11846,2021,VNL,Pool 1 - Preliminary Phase - Women #17,Germany,Belgium
0,11847,2021,VNL,Pool 1 - Preliminary Phase - Women #18,Russia,Netherlands
0,11848,2021,VNL,Pool 1 - Preliminary Phase - Women #19,Korea,Japan
0,11849,2021,VNL,Pool 1 - Preliminary Phase - Women #20,Canada,Dominican Republic
0,11850,2021,VNL,Pool 1 - Preliminary Phase - Women #21,China,Thailand
0,11851,2021,VNL,Pool 1 - Preliminary Phase - Women #22,Poland,Türkiye
0,11852,2021,VNL,Pool 1 - Preliminary Phase - Women #23,Brazil,USA
0,11853,2021,VNL,Pool 1 - Preliminary Phase - Women #24,Serbia,Italy
0,11854,2021,VNL,Pool 2 - Preliminary Phase - Women #25,Thailand,Netherlands
0,11855,2021,VNL,Pool 2 - Preliminary Phase - Women #26,Belgium,Dominican Republic
0,11856,2021,VNL,Pool 2 - Preliminary Phase - Women #27,China,Germany
0,11857,2021,VNL,Pool 2 - Preliminary Phase - Women #28,Brazil,Japan
0,11858,2021,VNL,Pool 2 - Preliminary Phase - Women #29,Canada,Türkiye
0,11859,2021,VNL,Pool 2 - Preliminary Phase - Women #30,Korea,Poland
