,0,1,2,3,4,5
0,11700,2021,VNL,Pool 1 - Preliminary Phase - Men #1,France,Bulgaria
0,11701,2021,VNL,Pool 1 - Preliminary Phase - Men #2,Germany,Australia
0,11702,2021,VNL,Pool 1 - Preliminary Phase - Men #3,Japan,Iran
0,11703,2021,VNL,Pool 1 - Preliminary Phase - Men #4,Serbia,Slovenia
0,11704,2021,VNL,Pool 1 - Preliminary Phase - Men #5,Netherlands,Russia
0,11705,2021,VNL,Pool 1 - Preliminary Phase - Men #6,USA,Canada
0,11706,2021,VNL,Pool 1 - Preliminary Phase - Men #7,Poland,Italy
0,11707,2021,VNL,Pool 1 - Preliminary Phase - Men #8,Brazil,Argentina
0,11708,2021,VNL,Pool 1 - Preliminary Phase - Men #9,Germany,France
0,11709,2021,VNL,Pool 1 - Preliminary Phase - Men #10,Iran,Russia
0,11710,2021,VNL,Pool 1 - Preliminary Phase - Men #11,Netherlands,Japan
0,11711,2021,VNL,Pool 1 - Preliminary Phase - Men #12,Australia,Bulgaria
0,11712,2021,VNL,Pool 1 - Preliminary Phase - Men #13,Poland,Serbia
0,11713,2021,VNL,Pool 1 - Preliminary Phase - Men #14,Italy,Slovenia
0,11714,2021,VNL,Pool 1 - Preliminary Phase - Men #15,Argentina,Canada
0,11715,2021,VNL,Pool 1 - Preliminary Phase - Men #16,USA,Brazil
0,11716,2021,VNL,Pool 1 - Preliminary Phase - Men #17,Australia,France
0,11717,2021,VNL,Pool 1 - Preliminary Phase - Men #18,Netherlands,Iran
0,11718,2021,VNL,Pool 1 - Preliminary Phase - Men #19,Germany,Bulgaria
0,11719,2021,VNL,Pool 1 - Preliminary Phase - Men #20,Russia,Japan
0,11720,2021,VNL,Pool 1 - Preliminary Phase - Men #21,USA,Argentina
0,11721,2021,VNL,Pool 1 - Preliminary Phase - Men #22,Canada,Brazil
0,11722,2021,VNL,Pool 1 - Preliminary Phase - Men #23,Poland,Slovenia
0,11723,2021,VNL,Pool 1 - Preliminary Phase - Men #24,Serbia,Italy
0,11724,2021,VNL,Pool 2 - Preliminary Phase - Men #25,Germany,Argentina
0,11725,2021,VNL,Pool 2 - Preliminary Phase - Men #26,Iran,Canada
0,11726,2021,VNL,Pool 2 - Preliminary Phase - Men #27,Japan,Serbia
0,11727,2021,VNL,Pool 2 - Preliminary Phase - Men #28,Brazil,France
0,11728,2021,VNL,Pool 2 - Preliminary Phase - Men #29,Netherlands,Slovenia
0,11729,2021,VNL,Pool 2 - Preliminary Phase - Men #30,Australia,Poland
0,11730,2021,VNL,Pool 2 - Preliminary Phase - Men #31,Italy,Bulgaria
0,11731,2021,VNL,Pool 2 - Preliminary Phase - Men #32,Russia,USA
0,11732,2021,VNL,Pool 2 - Preliminary Phase - Men #33,Argentina,Slovenia
0,11733,2021,VNL,Pool 2 - Preliminary Phase - Men #34,Netherlands,Germany
0,11734,2021,VNL,Pool 2 - Preliminary Phase - Men #35,Brazil,Japan
0,11735,2021,VNL,Pool 2 - Preliminary Phase - Men #36,Serbia,France
0,11736,2021,VNL,Pool 2 - Preliminary Phase - Men #37,Iran,Italy
0,11737,2021,VNL,Pool 2 - Preliminary Phase - Men #38,Poland,USA
0,11738,2021,VNL,Pool 2 - Preliminary Phase - Men #39,Russia,Australia
0,11739,2021,VNL,Pool 2 - Preliminary Phase - Men #40,Canada,Bulgaria
0,11740,2021,VNL,Pool 2 - Preliminary Phase - Men #41,Netherlands,Argentina
0,11741,2021,VNL,Pool 2 - Preliminary Phase - Men #42,Slovenia,Germany
0,11742,2021,VNL,Pool 2 - Preliminary Phase - Men #43,France,Japan
0,11743,2021,VNL,Pool 2 - Preliminary Phase - Men #44,Brazil,Serbia
0,11744,2021,VNL,Pool 2 - Preliminary Phase - Men #45,Russia,Poland
0,11745,2021,VNL,Pool 2 - Preliminary Phase - Men #46,USA,Australia
0,11746,2021,VNL,Pool 2 - Preliminary Phase - Men #47,Bulgaria,Iran
0,11747,2021,VNL,Pool 2 - Preliminary Phase - Men #48,Canada,Italy
0,11748,2021,VNL,Pool 3 - Preliminary Phase - Men #49,Serbia,Germany
0,11749,2021,VNL,Pool 3 - Preliminary Phase - Men #50,Japan,Australia
0,11750,2021,VNL,Pool 3 - Preliminary Phase - Men #51,France,Russia
0,11751,2021,VNL,Pool 3 - Preliminary Phase - Men #52,Slovenia,Canada
0,11752,2021,VNL,Pool 3 - Preliminary Phase - Men #53,Argentina,Italy
0,11753,2021,VNL,Pool 3 - Preliminary Phase - Men #54,Iran,USA
0,11754,2021,VNL,Pool 3 - Preliminary Phase - Men #55,Poland,Bulgaria
0,11755,2021,VNL,Pool 3 - Preliminary Phase - Men #56,Netherlands,Brazil
0,11756,2021,VNL,Pool 3 - Preliminary Phase - Men #57,Serbia,Iran
0,11757,2021,VNL,Pool 3 - Preliminary Phase - Men #58,Russia,Canada
0,11758,2021,VNL,Pool 3 - Preliminary Phase - Men #59,France,Slovenia
