,0,1,2,3
0,11830,Netherlands,1,25
1,11830,Netherlands,2,25
2,11830,Netherlands,3,25
3,11830,Belgium,1,21
4,11830,Belgium,2,19
5,11830,Belgium,3,18
0,11831,Türkiye,1,25
1,11831,Türkiye,2,18
2,11831,Türkiye,3,25
3,11831,Türkiye,4,22
4,11831,Türkiye,5,16
5,11831,Serbia,1,21
6,11831,Serbia,2,25
7,11831,Serbia,3,23
8,11831,Serbia,4,25
9,11831,Serbia,5,14
0,11832,Germany,1,21
1,11832,Germany,2,22
2,11832,Germany,3,19
3,11832,Russia,1,25
4,11832,Russia,2,25
5,11832,Russia,3,25
0,11833,Japan,1,25
1,11833,Japan,2,25
2,11833,Japan,3,25
3,11833,Thailand,1,15
4,11833,Thailand,2,17
5,11833,Thailand,3,16
0,11834,China,1,23
1,11834,China,2,25
2,11834,China,3,25
3,11834,China,4,25
4,11834,Korea,1,25
5,11834,Korea,2,19
6,11834,Korea,3,19
7,11834,Korea,4,18
0,11835,Dominican Republic,1,20
1,11835,Dominican Republic,2,21
2,11835,Dominican Republic,3,12
3,11835,USA,1,25
4,11835,USA,2,25
5,11835,USA,3,25
0,11836,Italy,1,22
1,11836,Italy,2,25
2,11836,Italy,3,25
3,11836,Italy,4,22
4,11836,Italy,5,15
5,11836,Poland,1,25
6,11836,Poland,2,22
7,11836,Poland,3,20
8,11836,Poland,4,25
9,11836,Poland,5,17
0,11837,Brazil,1,23
1,11837,Brazil,2,25
2,11837,Brazil,3,25
3,11837,Brazil,4,25
4,11837,Canada,1,25
5,11837,Canada,2,11
6,11837,Canada,3,9
7,11837,Canada,4,14
0,11838,Netherlands,1,25
1,11838,Netherlands,2,18
2,11838,Netherlands,3,30
3,11838,Netherlands,4,23
4,11838,Netherlands,5,12
5,11838,Germany,1,18
6,11838,Germany,2,25
7,11838,Germany,3,28
8,11838,Germany,4,25
9,11838,Germany,5,15
0,11839,Thailand,1,25
1,11839,Thailand,2,13
2,11839,Thailand,3,18
3,11839,Thailand,4,17
4,11839,Korea,1,15
5,11839,Korea,2,25
6,11839,Korea,3,25
7,11839,Korea,4,25
0,11840,China,1,13
1,11840,China,2,19
2,11840,China,3,17
3,11840,Japan,1,25
4,11840,Japan,2,25
5,11840,Japan,3,25
0,11841,Belgium,1,25
1,11841,Belgium,2,25
2,11841,Belgium,3,19
3,11841,Belgium,4,19
4,11841,Belgium,5,8
5,11841,Russia,1,23
6,11841,Russia,2,21
7,11841,Russia,3,25
8,11841,Russia,4,25
9,11841,Russia,5,15
0,11842,Serbia,1,20
1,11842,Serbia,2,25
2,11842,Serbia,3,25
3,11842,Serbia,4,25
4,11842,Poland,1,25
5,11842,Poland,2,17
6,11842,Poland,3,16
7,11842,Poland,4,21
0,11843,Brazil,1,25
1,11843,Brazil,2,25
2,11843,Brazil,3,25
3,11843,Dominican Republic,1,20
4,11843,Dominican Republic,2,13
5,11843,Dominican Republic,3,17
0,11844,Türkiye,1,25
1,11844,Türkiye,2,25
2,11844,Türkiye,3,25
3,11844,Italy,1,13
4,11844,Italy,2,23
5,11844,Italy,3,16
0,11845,USA,1,26
1,11845,USA,2,25
2,11845,USA,3,25
3,11845,Canada,1,24
4,11845,Canada,2,15
5,11845,Canada,3,10
0,11846,Germany,1,25
1,11846,Germany,2,25
2,11846,Germany,3,25
3,11846,Belgium,1,20
4,11846,Belgium,2,19
5,11846,Belgium,3,13
0,11847,Russia,1,14
1,11847,Russia,2,22
2,11847,Russia,3,25
3,11847,Russia,4,20
4,11847,Netherlands,1,25
5,11847,Netherlands,2,25
6,11847,Netherlands,3,23
7,11847,Netherlands,4,25
0,11848,Korea,1,18
1,11848,Korea,2,18
2,11848,Korea,3,25
3,11848,Japan,1,25
4,11848,Japan,2,25
5,11848,Japan,3,27
0,11849,Canada,1,17
1,11849,Canada,2,24
2,11849,Canada,3,30
3,11849,Canada,4,16
4,11849,Dominican Republic,1,25
5,11849,Dominican Republic,2,26
6,11849,Dominican Republic,3,28
7,11849,Dominican Republic,4,25
0,11850,China,1,25
1,11850,China,2,25
2,11850,China,3,25
3,11850,Thailand,1,15
4,11850,Thailand,2,15
5,11850,Thailand,3,23
0,11851,Poland,1,23
