,0,1,2,3
0,11700,France,1,27
1,11700,France,2,25
2,11700,France,3,25
3,11700,Bulgaria,1,25
4,11700,Bulgaria,2,21
5,11700,Bulgaria,3,23
0,11701,Germany,1,25
1,11701,Germany,2,25
2,11701,Germany,3,25
3,11701,Australia,1,19
4,11701,Australia,2,18
5,11701,Australia,3,16
0,11702,Japan,1,25
1,11702,Japan,2,25
2,11702,Japan,3,26
3,11702,Iran,1,19
4,11702,Iran,2,22
5,11702,Iran,3,24
0,11703,Serbia,1,22
1,11703,Serbia,2,25
2,11703,Serbia,3,36
3,11703,Serbia,4,25
4,11703,Slovenia,1,25
5,11703,Slovenia,2,18
6,11703,Slovenia,3,34
7,11703,Slovenia,4,18
0,11704,Netherlands,1,19
1,11704,Netherlands,2,22
2,11704,Netherlands,3,25
3,11704,Netherlands,4,20
4,11704,Russia,1,25
5,11704,Russia,2,25
6,11704,Russia,3,18
7,11704,Russia,4,25
0,11705,USA,1,25
1,11705,USA,2,26
2,11705,USA,3,25
3,11705,Canada,1,17
4,11705,Canada,2,24
5,11705,Canada,3,20
0,11706,Poland,1,25
1,11706,Poland,2,25
2,11706,Poland,3,25
3,11706,Italy,1,19
4,11706,Italy,2,20
5,11706,Italy,3,18
0,11707,Brazil,1,31
1,11707,Brazil,2,26
2,11707,Brazil,3,25
3,11707,Argentina,1,29
4,11707,Argentina,2,24
5,11707,Argentina,3,16
0,11708,Germany,1,25
1,11708,Germany,2,22
2,11708,Germany,3,25
3,11708,Germany,4,16
4,11708,Germany,5,15
5,11708,France,1,22
6,11708,France,2,25
7,11708,France,3,22
8,11708,France,4,25
9,11708,France,5,17
0,11709,Iran,1,17
1,11709,Iran,2,25
2,11709,Iran,3,20
3,11709,Iran,4,17
4,11709,Russia,1,25
5,11709,Russia,2,20
6,11709,Russia,3,25
7,11709,Russia,4,25
0,11710,Netherlands,1,25
1,11710,Netherlands,2,25
2,11710,Netherlands,3,22
3,11710,Netherlands,4,17
4,11710,Netherlands,5,8
5,11710,Japan,1,22
6,11710,Japan,2,23
7,11710,Japan,3,25
8,11710,Japan,4,25
9,11710,Japan,5,15
0,11711,Australia,1,21
1,11711,Australia,2,20
2,11711,Australia,3,20
3,11711,Bulgaria,1,25
4,11711,Bulgaria,2,25
5,11711,Bulgaria,3,25
0,11712,Poland,1,26
1,11712,Poland,2,25
2,11712,Poland,3,21
3,11712,Poland,4,25
4,11712,Serbia,1,24
5,11712,Serbia,2,19
6,11712,Serbia,3,25
7,11712,Serbia,4,15
0,11713,Italy,1,23
1,11713,Italy,2,19
2,11713,Italy,3,15
3,11713,Slovenia,1,25
4,11713,Slovenia,2,25
5,11713,Slovenia,3,25
0,11714,Argentina,1,17
1,11714,Argentina,2,21
