tecnica_analitica,tipo_base,acuracia,sensibilidade,especificidade,precisao,VP,FP,VN,FN
Árvore de decisão,Treino,0.8519980266403552,0.9075025693730729,0.8007590132827325,0.807868252516011,883,210,844,90
Árvore de decisão,Teste,0.8206896551724138,0.8519362186788155,0.7888631090487239,0.8043010752688172,374,91,340,65
Random Forest (Grid Search),Treino,0.9723729649728663,0.9784172661870504,0.9667931688804554,0.9645390070921985,952,35,1019,21
Random Forest (Grid Search),Teste,0.9540229885057471,0.9476082004555809,0.9605568445475638,0.9607390300230947,416,17,414,23
XGBoost (Grid Search),Treino,0.9861864824864331,0.986639260020555,0.9857685009487666,0.9846153846153847,960,15,1039,13
XGBoost (Grid Search),Teste,0.9620689655172414,0.9544419134396356,0.9698375870069605,0.9699074074074074,419,13,418,20
SVM (Grid Search),Treino,0.96250616674889,0.9609455292908531,0.9639468690702088,0.9609455292908531,935,38,1016,38
SVM (Grid Search),Teste,0.964367816091954,0.9544419134396356,0.974477958236659,0.9744186046511628,419,11,420,20
K-Nearest Neighbors,Treino,0.9151455352738036,0.9157245632065776,0.9146110056925996,0.908256880733945,891,90,964,82
K-Nearest Neighbors,Teste,0.8724137931034482,0.8815489749430524,0.8631090487238979,0.8677130044843049,387,59,372,52
Rede Neural MLP,Treino,0.96250616674889,0.9671120246659815,0.9582542694497154,0.9553299492385787,941,44,1010,32
Rede Neural MLP,Teste,0.964367816091954,0.9635535307517085,0.9651972157772621,0.9657534246575342,423,15,416,16
